date,headline
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, January 14, 2021"
2021-01-01,"Transcript: The Rachel Maddow Show, January 14, 2021"
2021-01-01,"Transcript: All In with Chris Hayes, January 14, 2021"
2021-01-01,"Transcript: The ReidOut, January 14, 2021"
2021-01-01,"Transcript: The Beat with Ari Melber, January 14, 2021"
2021-01-01,"Thursday's Mini-Report, 1.14.21"
2021-01-01,Trump's coup was foiled by key Republicans — but their ranks are shrinking
2021-01-01,Want to set financial goals you can actually keep? Here are 7 easy ways to make it happen
2021-01-01,"6 successful women share why personal style matters, even when no one else is looking"
2021-01-01,"Before exiting office, Trump reportedly turns on Giuliani, too"
2021-01-01,"GOP senator concedes Trump 'misled' his followers, may face charges"
2021-01-01,GOP leaders could give extremist members the Steve King treatment
2021-01-01,Josh Hawley tries (and fails) to defend his anti-election efforts
2021-01-01,American Coup
2021-01-01,"Unemployment claims spike, reach highest point since August"
2021-01-01,House conservatives want to oust Liz Cheney from GOP leadership
2021-01-01,"As Trump's impeachment heads to the Senate, what happens now?"
2021-01-01,Trump spent four years destroying two brands: His own and the GOP's
2021-01-01,"Transcript: The 11th Hour with Brian Williams, January 13, 2021"
2021-01-01,"Transcript: The Last Word with Lawrence O'Donnell, January 13, 2021"
2021-01-01,"Transcript: The Rachel Maddow Show, January 13, 2021"
2021-01-01,"Transcript: All In with Chris Hayes, January 13, 2021"
2021-01-01,"Transcript: The ReidOut, January 13, 2021"
2021-01-01,"Wednesday's Mini-Report, 1.13.21"
2021-01-01,"With some bipartisan support, Trump impeached for the second time"
2021-01-01,'Career doctor' Liz Bentley: How to keep up with the new pace of 2021 ― and  avoid burnout
2021-01-01,Transcript: Frank Figliuzzi: The FBI Way
2021-01-01,White House plan to pushback against impeachment doesn't really exist
2021-01-01,"Wednesday's Campaign Round-Up, 1.13.21"
2021-01-01,The GOP was sowing seeds of fascism and violence long before Trump
2021-01-01,"Despite recent violence, GOP balks at new Capitol metal detectors"
2021-01-01,"Following Capitol attack, latest polling offers good news (and bad)"
2021-01-01,Frank Figliuzzi: The FBI Way
2021-01-01,46 million Americans wiped out their emergency savings during the pandemic — How to turn it all around in 2021
2021-01-01,Resigning GOP staffer condemns mob's 'congressional enablers'
